Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01
110,15150,2195,2156,2410,3327,6802,9035,10599,12269,14243,15493,2039,2159,2299,2878,4894,13365,15778,15795,15911
115,14695,2185,2139,2398,3270,6481,8833,10549,12038,14062,15520,2076,2150,2288,2870,4712,12913,15805,15882,16152
120,15230,2174,2126,2373,3186,6243,8677,10387,11944,14014,15597,2020,2170,2272,2821,4620,12437,15727,15927,16552
125,15285,2216,2119,2389,3200,5838,8663,10284,11793,13904,15568,2011,2143,2277,2800,4504,11825,15723,15907,15965
130,15362,2135,2115,2338,3091,5595,8386,10201,11661,13759,15726,2057,2130,2247,2801,4400,11141,15664,15867,15737
135,15167,2202,2085,2379,3059,5450,8173,9990,11452,13597,15613,1992,2143,2250,2772,4389,10491,15782,15890,16481
140,15120,2178,2074,2316,3003,5862,8115,9821,11315,13410,15535,1995,2122,2259,2761,4205,9888,15641,15799,16298
145,15046,2183,2063,2291,2966,5764,7913,9737,11086,13251,15594,2047,2120,2258,2739,4204,9334,15499,15756,16679
150,14904,2171,2056,2290,2926,4798,7662,9479,10905,13034,15562,2041,2131,2237,2708,4073,8858,15374,15689,16614
155,14778,2175,2044,2270,2904,4954,7365,9301,10681,12843,15491,2002,2113,2237,2711,4078,8286,15080,15435,15734
160,14687,2169,2039,2253,2882,4868,7219,9053,10438,12609,16411,2036,2091,2211,2668,3996,7863,14774,15248,16421
165,14091,2139,2050,2249,2854,4610,7009,8814,10191,12322,15600,2114,2087,2213,2645,3971,7544,14431,16038,15377
170,13775,2157,2003,2290,2812,4931,6863,8615,10008,12109,15628,2068,2086,2200,2635,3865,7195,14116,15725,15281
175,12816,2145,2009,2287,2796,4746,6635,8393,9739,12160,16384,2082,2065,2185,2615,3844,6870,13732,14676,15374
180,12326,2111,1969,2271,2769,4230,6490,8183,9570,11601,15286,2078,2064,2197,2588,3761,6649,13350,14271,14757
